"SUID","interaction","name","selected","shared interaction","shared name"
"6264","linked_to","","false","linked_to",""
"5658","child_of","","false","child_of",""
"6105","linked_to","","false","linked_to",""
"6890","child_of","","false","child_of",""
"7162","child_of","","false","child_of",""
"5467","linked_to","","false","linked_to",""
"5374","child_of","","false","child_of",""
"7303","linked_to","","false","linked_to",""
"6962","linked_to","","false","linked_to",""
"6009","child_of","","false","child_of",""
"9253","child_of","","false","child_of",""
"9682","child_of","","false","child_of",""
"8074","child_of","","false","child_of",""
"6196","child_of","","false","child_of",""
"7218","linked_to","","false","linked_to",""
"8532","linked_to","","false","linked_to",""
"9759","linked_to","","false","linked_to",""
"7209","child_of","","false","child_of",""
"8497","child_of","","false","child_of",""
"9133","child_of","","false","child_of",""
"9280","child_of","","false","child_of",""
"4446","child_of","","false","child_of",""
"7690","child_of","","false","child_of",""
"7400","child_of","","false","child_of",""
"5768","child_of","","false","child_of",""
"5208","child_of","","false","child_of",""
"6375","child_of","","false","child_of",""
"7053","linked_to","","false","linked_to",""
"6641","linked_to","","false","linked_to",""
"8101","child_of","","false","child_of",""
"6910","child_of","","false","child_of",""
"4273","child_of","","false","child_of",""
"5206","child_of","","false","child_of",""
"9726","child_of","","false","child_of",""
"9018","linked_to","","false","linked_to",""
"7688","child_of","","false","child_of",""
"7548","child_of","","false","child_of",""
"6621","child_of","","false","child_of",""
"8249","child_of","","false","child_of",""
"7846","linked_to","","false","linked_to",""
"9443","child_of","","false","child_of",""
"8743","child_of","","false","child_of",""
"7681","child_of","","false","child_of",""
"8629","child_of","","false","child_of",""
"4320","child_of","","false","child_of",""
"5624","linked_to","","false","linked_to",""
"7284","child_of","","false","child_of",""
"6202","child_of","","false","child_of",""
"4420","child_of","","false","child_of",""
"5989","linked_to","","false","linked_to",""
"8434","child_of","","false","child_of",""
"5068","child_of","","false","child_of",""
"7248","linked_to","","false","linked_to",""
"6443","child_of","","false","child_of",""
"5541","linked_to","","false","linked_to",""
"5694","child_of","","false","child_of",""
"9334","linked_to","","false","linked_to",""
"7571","linked_to","","false","linked_to",""
"8638","linked_to","","false","linked_to",""
"6147","child_of","","false","child_of",""
"8691","child_of","","false","child_of",""
"9241","child_of","","false","child_of",""
"8261","child_of","","false","child_of",""
"6018","child_of","","false","child_of",""
"8935","child_of","","false","child_of",""
"5237","child_of","","false","child_of",""
"7136","child_of","","false","child_of",""
"7817","child_of","","false","child_of",""
"4370","linked_to","","false","linked_to",""
"6414","linked_to","","false","linked_to",""
"9440","child_of","","false","child_of",""
"8367","child_of","","false","child_of",""
"5975","child_of","","false","child_of",""
"8666","child_of","","false","child_of",""
"8642","linked_to","","false","linked_to",""
"7607","child_of","","false","child_of",""
"5722","child_of","","false","child_of",""
"6670","linked_to","","false","linked_to",""
"7875","linked_to","","false","linked_to",""
"7677","child_of","","false","child_of",""
"7547","child_of","","false","child_of",""
"5753","child_of","","false","child_of",""
"8186","child_of","","false","child_of",""
"8381","child_of","","false","child_of",""
"5554","child_of","","false","child_of",""
"4384","child_of","","false","child_of",""
"4363","child_of","","false","child_of",""
"9787","child_of","","false","child_of",""
"9418","linked_to","","false","linked_to",""
"4789","linked_to","","false","linked_to",""
"5338","child_of","","false","child_of",""
"7370","linked_to","","false","linked_to",""
"6927","child_of","","false","child_of",""
"9390","linked_to","","false","linked_to",""
"7538","child_of","","false","child_of",""
"6132","child_of","","false","child_of",""
"5966","linked_to","","false","linked_to",""
"6244","child_of","","false","child_of",""
"9865","child_of","","false","child_of",""
"4406","child_of","","false","child_of",""
"5428","child_of","","false","child_of",""
"4988","linked_to","","false","linked_to",""
"8237","child_of","","false","child_of",""
"5597","child_of","","false","child_of",""
"7217","linked_to","","false","linked_to",""
"6747","child_of","","false","child_of",""
"9891","child_of","","false","child_of",""
"4728","linked_to","","false","linked_to",""
"7388","child_of","","false","child_of",""
"9322","child_of","","false","child_of",""
"5318","linked_to","","false","linked_to",""
