start	end	type
3488	301	child_of
68	2079	child_of
490	415	child_of
1243	1227	child_of
1262	3493	child_of
2903	348	child_of
2422	2204	child_of
2941	3408	child_of
3072	2042	child_of
592	2502	child_of
3916	1165	child_of
1800	189	child_of
2710	2408	child_of
1141	4058	child_of
1576	149	child_of
66	576	child_of
3532	3520	child_of
3934	2396	child_of
2295	2673	child_of
2673	117	child_of
1618	105	child_of
1245	3190	child_of
616	3636	child_of
4095	3828	child_of
1928	825	child_of
2448	1671	child_of
2448	2293	linked_to
2448	3707	linked_to
2448	3303	linked_to
2448	3823	linked_to
2849	604	child_of
2293	55	child_of
2293	3480	linked_to
2293	1371	linked_to
262	3289	child_of
1027	1724	child_of
1027	2186	linked_to
1027	1704	linked_to
1219	483	child_of
1682	2087	child_of
1682	2518	linked_to
1682	4096	linked_to
1682	3585	linked_to
1682	2269	linked_to
1682	594	linked_to
1682	3528	linked_to
1682	1079	linked_to
1682	1713	linked_to
1682	491	linked_to
2578	2107	child_of
2044	2413	child_of
3467	2093	child_of
4007	330	child_of
1008	1831	child_of
168	2694	child_of
168	1146	linked_to
168	725	linked_to
168	1752	linked_to
168	3920	linked_to
168	914	linked_to
1558	2156	child_of
1173	2877	child_of
2800	1297	child_of
1628	2932	child_of
1628	3607	linked_to
1901	24	child_of
3480	950	child_of
3480	2468	linked_to
3480	3616	linked_to
3480	3301	linked_to
3480	2058	linked_to
3480	2694	linked_to
3585	950	child_of
3585	1146	linked_to
3585	725	linked_to
3585	1752	linked_to
3585	3826	linked_to
3585	2448	linked_to
3585	3024	linked_to
3585	914	linked_to
4017	3616	child_of
2086	1671	child_of
2585	428	child_of
2362	2461	child_of
2362	3951	linked_to
2362	1869	linked_to
2362	2254	linked_to
2362	1063	linked_to
1752	3473	child_of
1752	2298	linked_to
1752	496	linked_to
1752	3915	linked_to
795	3937	child_of
530	3528	child_of
1713	750	child_of
3861	3446	child_of
3522	1072	child_of
2961	3790	child_of
3639	1956	child_of
64	3350	child_of
426	3238	child_of
426	3577	linked_to
959	1172	child_of
1172	2502	child_of
2532	959	child_of
2594	959	child_of
3081	101	child_of
3497	1946	child_of
547	2586	child_of
164	440	child_of
1350	261	child_of
2426	1532	child_of
819	1783	child_of
1496	1331	child_of
1496	517	linked_to
3787	3261	child_of
689	2251	child_of
689	2398	linked_to
689	695	linked_to
3314	229	child_of
3314	2324	linked_to
3772	919	child_of
1923	583	child_of
1842	1306	child_of
1614	2218	child_of
811	4071	child_of
811	1254	linked_to
317	2273	child_of
317	1925	linked_to
1609	3062	child_of
1609	3193	linked_to
3464	1748	child_of
2969	3491	child_of
2969	2099	linked_to
2969	843	linked_to
2969	3326	linked_to
2321	3139	child_of
3450	3037	child_of
3450	921	linked_to
187	1716	child_of
1020	150	child_of
1146	1555	child_of
1146	3473	linked_to
1146	3480	linked_to
1146	4017	linked_to
1146	1869	linked_to
1146	921	linked_to
1160	3288	child_of
1160	474	linked_to
1160	3587	linked_to
1160	2675	linked_to
1160	783	linked_to
2601	3417	child_of
2638	1720	child_of
2842	2308	child_of
2831	3519	child_of
318	3341	child_of
379	1953	child_of
1785	1533	child_of
2352	3836	child_of
908	2003	child_of
1687	587	child_of
1687	829	linked_to
3673	2585	child_of
3673	2269	linked_to
3673	168	linked_to
3673	4096	linked_to
750	3612	child_of
2880	3111	child_of
2880	3057	linked_to
2880	34	linked_to
2880	2437	linked_to
2880	1499	linked_to
3372	377	child_of
2493	1849	child_of
1915	2011	child_of
1915	1244	linked_to
1354	3659	child_of
1012	2167	child_of
209	372	child_of
52	232	child_of
3619	2971	child_of
3157	2142	child_of
3017	1820	child_of
713	2666	child_of
1328	3090	child_of
2002	3484	child_of
2002	1728	linked_to
2419	2432	child_of
2419	3593	linked_to
3375	3015	child_of
