S000004015	YLR025W	SNF7	S000004682	YMR077C	VPS20
S000001551	YKL068W	NUP100	S000005133	YNL189W	SRP1
S000002351	YDL192W	ARF1	S000000748	YEL022W	GEA2
S000002691	YDR283C	GCN2	S000001656	YKL173W	SNU114
S000002255	YDL097C	RPN6	S000002835	YDR427W	RPN9
S000001900	YFR004W	RPN11	S000001315	YIL053W	RHR2
S000003410	YGR178C	PBP1	S000005101	YNL157W	IGO1
S000003398	YGR166W	TRS65	S000004831	YMR218C	TRS130
S000000927	YER125W	RSP5	S000003112	YGL144C	ROG1
S000002498	YDR091C	RLI1	S000006245	YPR041W	TIF5
S000002299	YDL140C	RPO21	S000004105	YLR115W	CFT2
S000000415	YBR211C	AME1	S000002662	YDR254W	CHL4
S000002223	YDL065C	PEX19	S000005158	YNL214W	PEX17
S000003304	YGR072W	UPF3	S000004685	YMR080C	NAM7
S000000536	YCL031C	RRP7	S000003322	YGR090W	UTP22
S000000364	YBR160W	CDC28	S000005592	YOR066W	MSA1
S000000667	YCR071C	IMG2	S000002730	YDR322W	MRPL35
S000003149	YGL181W	GTS1	S000003473	YGR241C	YAP1802
S000002213	YDL055C	PSA1	S000002918	YDR510W	SMT3
S000000838	YER036C	ARB1	S000006240	YPR036W	VMA13
S000000950	YER148W	SPT15	S000006156	YPL235W	RVB2
S000000974	YER172C	BRR2	S000005294	YNR011C	PRP2
S000002388	YDL229W	SSB1	S000001842	YFL052W	
S000003606	YJL070C		S000004498	YML035C	AMD1
S000003364	YGR132C	PHB1	S000003719	YJL183W	MNN11
S000004440	YLR448W	RPL6B	S000004665	YMR061W	RNA14
S000004266	YLR276C	DBP9	S000004925	YMR308C	PSE1
S000001789	YKR081C	RPF2	S000005589	YOR063W	RPL3
S000004676	YMR072W	ABF2	S000006003	YPL082C	MOT1
S000001716	YKR008W	RSC4	S000004349	YLR357W	RSC2
S000002242	YDL084W	SUB2	S000002918	YDR510W	SMT3
S000000004	YAL005C	SSA1	S000001353	YIL091C	UTP25
S000000896	YER094C	PUP3	S000005683	YOR157C	PUP1
S000000818	YER016W	BIM1	S000003029	YGL061C	DUO1
S000000356	YBR152W	SPP381	S000000974	YER172C	BRR2
S000000030	YAL032C	PRP45	S000006305	YPR101W	SNT309
S000000033	YAL035W	FUN12	S000003884	YJR123W	RPS5
S000000684	YCR088W	ABP1	S000005082	YNL138W	SRV2
S000000004	YAL005C	SSA1	S000005553	YOR027W	STI1
S000000112	YBL016W	FUS3	S000001126	YHR084W	STE12
S000002603	YDR195W	REF2	S000001501	YKL018W	SWD2
S000002435	YDR028C	REG1	S000003484	YGR252W	GCN5
S000000994	YHL002W	HSE1	S000001418	YIL156W	UBP7
S000002423	YDR016C	DAD1	S000002609	YDR201W	SPC19
S000000405	YBR201W	DER1	S000002819	YDR411C	DFM1
S000002732	YDR324C	UTP4	S000005837	YOR310C	NOP58
S000000564	YCL059C	KRR1	S000003377	YGR145W	ENP2
S000002578	YDR171W	HSP42	S000003088	YGL120C	PRP43
S000001900	YFR004W	RPN11	S000006278	YPR074C	TKL1
S000001062	YHR020W		S000005199	YNL255C	GIS2
S000001132	YHR090C	YNG2	S000005770	YOR244W	ESA1
S000003806	YJR045C	SSC1	S000005758	YOR232W	MGE1
S000003465	YGR233C	PHO81	S000001312	YIL050W	PCL7
S000002307	YDL148C	NOP14	S000005622	YOR096W	RPS7A
S000002636	YDR228C	PCF11	S000003783	YJR022W	LSM8
S000000004	YAL005C	SSA1	S000004369	YLR377C	FBP1
S000002517	YDR110W	FOB1	S000001924	YFR028C	CDC14
S000002304	YDL145C	COP1	S000005202	YNL258C	DSL1
S000000449	YBR245C	ISW1	S000004349	YLR357W	RSC2
S000004016	YLR026C	SED5	S000004532	YML067C	ERV41
S000002990	YGL022W	STT3	S000004757	YMR149W	SWP1
S000003962	YLL039C	UBI4	S000004143	YLR153C	ACS2
S000000036	YAL038W	CDC19	S000000953	YER151C	UBP3
S000004685	YMR080C	NAM7	S000006027	YPL106C	SSE1
S000002615	YDR207C	UME6	S000001346	YIL084C	SDS3
S000005750	YOR224C	RPB8	S000005867	YOR340C	RPA43
S000001933	YFR037C	RSC8	S000005642	YOR116C	RPO31
S000005683	YOR157C	PUP1	S000006307	YPR103W	PRE2
S000003874	YJR113C	RSM7	S000005684	YOR158W	PET123
S000000099	YBL003C	HTA2	S000003484	YGR252W	GCN5
S000001239	YHR196W	UTP9	S000004119	YLR129W	DIP2
S000000559	YCL054W	SPB1	S000000935	YER133W	GLC7
S000002812	YDR404C	RPB7	S000003295	YGR063C	SPT4
S000002299	YDL140C	RPO21	S000003038	YGL070C	RPB9
S000002802	YDR394W	RPT3	S000000763	YEL037C	RAD23
S000000468	YBR264C	YPT10	S000005207	YNL263C	YIF1
S000002789	YDR381W	YRA1	S000002840	YDR432W	NPL3
S000000927	YER125W	RSP5	S000004935	YMR316W	DIA1
S000002388	YDL229W	SSB1	S000003054	YGL086W	MAD1
S000001141	YHR099W	TRA1	S000004045	YLR055C	SPT8
S000002213	YDL055C	PSA1	S000005299	YNR016C	ACC1
S000000004	YAL005C	SSA1	S000003469	YGR237C	
S000003645	YJL109C	UTP10	S000004699	YMR093W	UTP15
S000006027	YPL106C	SSE1	S000006312	YPR108W	RPN7
S000003322	YGR090W	UTP22	S000001191	YHR148W	IMP3
S000003762	YJR002W	MPP10	S000004119	YLR129W	DIP2
S000000451	YBR247C	ENP1	S000004119	YLR129W	DIP2
S000003962	YLL039C	UBI4	S000005441	YOL081W	IRA2
S000001626	YKL143W	LTV1	S000006187	YPL266W	DIM1
S000001504	YKL021C	MAK11	S000005005	YNL061W	NOP2
S000003947	YLL024C	SSA2	S000006027	YPL106C	SSE1
S000002366	YDL207W	GLE1	S000002600	YDR192C	NUP42
S000002598	YDR190C	RVB1	S000006161	YPL240C	HSP82
S000000011	YAL013W	DEP1	S000004876	YMR263W	SAP30
S000001904	YFR008W	FAR7	S000004656	YMR052W	FAR3
S000006435	YKR035W-A	DID2	S000005209	YNL265C	IST1
S000000039	YAL041W	CDC24	S000005242	YNL298W	CLA4
S000000642	YCR046C	IMG1	S000005121	YNL177C	MRPL22
S000003368	YGR136W	LSB1	S000005707	YOR181W	LAS17
S000000979	YER177W	BMH1	S000005274	YNL330C	RPD3
S000004046	YLR056W	ERG3	S000004090	YLR100W	ERG27
S000002918	YDR510W	SMT3	S000006307	YPR103W	PRE2
S000002542	YDR135C	YCF1	S000001297	YIL035C	CKA1
S000001628	YKL145W	RPT1	S000005785	YOR259C	RPT4
S000002413	YDR006C	SOK1	S000001900	YFR004W	RPN11
S000001388	YIL126W	STH1	S000006238	YPR034W	ARP7
S000000189	YBL093C	ROX3	S000003336	YGR104C	SRB5
S000003712	YJL176C	SWI3	S000006238	YPR034W	ARP7
S000000098	YBL002W	HTB2	S000000832	YER030W	CHZ1
S000002388	YDL229W	SSB1	S000001000	YHL008C	
S000002467	YDR060W	MAK21	S000001108	YHR066W	SSF1
S000005199	YNL255C	GIS2	S000006336	YPR132W	RPS23B
S000000774	YEL048C	TCA17	S000004831	YMR218C	TRS130
S000003957	YLL034C	RIX7	S000004441	YLR449W	FPR4
S000002976	YGL008C	PMA1	S000003962	YLL039C	UBI4
S000002388	YDL229W	SSB1	S000001001	YHL009C	YAP3
S000002643	YDR235W	PRP42	S000002648	YDR240C	SNU56
S000000373	YBR169C	SSE2	S000002578	YDR171W	HSP42
S000002645	YDR237W	MRPL7	S000002870	YDR462W	MRPL28
S000005153	YNL209W	SSB2	S000005943	YPL022W	RAD1
S000000323	YBR119W	MUD1	S000002643	YDR235W	PRP42
S000000684	YCR088W	ABP1	S000005810	YOR284W	HUA2
S000000981	YER179W	DMC1	S000005299	YNR016C	ACC1
S000002423	YDR016C	DAD1	S000003029	YGL061C	DUO1
S000002223	YDL065C	PEX19	S000005507	YOL147C	PEX11
S000003234	YGR002C	SWC4	S000006156	YPL235W	RVB2
S000003044	YGL076C	RPL7A	S000001243	YHR200W	RPN10
S000003478	YGR246C	BRF1	S000003548	YJL011C	RPC17
S000001789	YKR081C	RPF2	S000005820	YOR294W	RRS1
S000002894	YDR486C	VPS60	S000004171	YLR181C	VTA1
S000003962	YLL039C	UBI4	S000005447	YOL087C	
S000002840	YDR432W	NPL3	S000004732	YMR125W	STO1
S000001163	YHR121W	LSM12	S000006161	YPL240C	HSP82
S000002245	YDL087C	LUC7	S000001208	YHR165C	PRP8
S000002918	YDR510W	SMT3	S000003628	YJL092W	SRS2
S000002506	YDR099W	BMH2	S000004167	YLR177W	
S000002368	YDL209C	CWC2	S000006386	YPR182W	SMX3
S000003335	YGR103W	NOP7	S000001130	YHR088W	RPF1
S000005180	YNL236W	SIN4	S000005700	YOR174W	MED4
S000004477	YML015C	TAF11	S000005932	YPL011C	TAF3
S000000318	YBR114W	RAD16	S000003813	YJR052W	RAD7
S000003295	YGR063C	SPT4	S000001283	YIL021W	RPB3
S000002704	YDR296W	MHR1	S000004431	YLR439W	MRPL4
S000000928	YER126C	NSA2	S000004903	YMR290C	HAS1
S000002918	YDR510W	SMT3	S000004306	YLR314C	CDC3
S000000265	YBR061C	TRM7	S000006104	YPL183C	RTT10
S000002714	YDR306C		S000002736	YDR328C	SKP1
S000000065	YAR007C	RFA1	S000005831	YOR304W	ISW2
S000003973	YLL050C	COF1	S000004698	YMR092C	AIP1
S000000642	YCR046C	IMG1	S000003599	YJL063C	MRPL8
S000002625	YDR217C	RAD9	S000006074	YPL153C	RAD53
S000001586	YKL103C	LAP4	S000005442	YOL082W	ATG19
S000000024	YAL026C	DRS2	S000001695	YKL212W	SAC1
S000001933	YFR037C	RSC8	S000004023	YLR033W	RSC58
S000000438	YBR234C	ARC40	S000003962	YLL039C	UBI4
S000003484	YGR252W	GCN5	S000004614	YMR012W	CLU1
S000001551	YKL068W	NUP100	S000001790	YKR082W	NUP133
S000000213	YBR009C	HHF1	S000002708	YDR300C	PRO1
S000004855	YMR242C	RPL20A	S000006014	YPL093W	NOG1
S000002711	YDR303C	RSC3	S000004697	YMR091C	NPL6
S000000072	YAR019C	CDC15	S000001924	YFR028C	CDC14
S000004284	YLR293C	GSP1	S000004925	YMR308C	PSE1
S000003364	YGR132C	PHB1	S000004695	YMR089C	YTA12
S000003081	YGL113W	SLD3	S000004264	YLR274W	MCM5
S000003645	YJL109C	UTP10	S000006138	YPL217C	BMS1
S000001900	YFR004W	RPN11	S000006183	YPL262W	FUM1
S000003957	YLL034C	RIX7	S000005054	YNL110C	NOP15
S000001454	YIR015W	RPR2	S000005165	YNL221C	POP1
S000000950	YER148W	SPT15	S000004984	YNL039W	BDP1
S000002448	YDR041W	RSM10	S000006039	YPL118W	MRP51
S000001327	YIL065C	FIS1	S000001744	YKR036C	CAF4
S000001948	YFR052W	RPN12	S000001337	YIL075C	RPN2
S000003767	YJR007W	SUI2	S000006158	YPL237W	SUI3
S000005199	YNL255C	GIS2	S000005837	YOR310C	NOP58
S000002918	YDR510W	SMT3	S000004595	YML126C	ERG13
S000000364	YBR160W	CDC28	S000004588	YML119W	
S000000230	YBR026C	ETR1	S000002388	YDL229W	SSB1
S000001161	YHR119W	SET1	S000006059	YPL138C	SPP1
S000000340	YBR136W	MEC1	S000006214	YPR010C	RPA135
S000003617	YJL081C	ARP4	S000004505	YML041C	VPS71
S000003999	YLR009W	RLP24	S000005054	YNL110C	NOP15
S000000253	YBR049C	REB1	S000003203	YGL234W	"ADE5,7"
S000002299	YDL140C	RPO21	S000006391	YPR187W	RPO26
S000000100	YBL004W	UTP20	S000005964	YPL043W	NOP4
S000002484	YDR077W	SED1	S000002550	YDR143C	SAN1
S000001686	YKL203C	TOR2	S000005079	YNL135C	FPR1
S000001881	YFL013C	IES1	S000005159	YNL215W	IES2
S000003060	YGL092W	NUP145	S000004650	YMR047C	NUP116
S000002388	YDL229W	SSB1	S000003318	YGR086C	PIL1
S000002904	YDR496C	PUF6	S000001668	YKL185W	ASH1
S000002388	YDL229W	SSB1	S000006128	YPL207W	TYW1
S000006005	YPL084W	BRO1	S000006377	YPR173C	VPS4
S000000781	YEL055C	POL5	S000001239	YHR196W	UTP9
S000000099	YBL003C	HTA2	S000001388	YIL126W	STH1
S000002388	YDL229W	SSB1	S000001340	YIL078W	THS1
S000002287	YDL129W		S000001924	YFR028C	CDC14
S000000851	YER049W	TPA1	S000004239	YLR249W	YEF3
S000001600	YKL117W	SBA1	S000004798	YMR186W	HSC82
S000002104	YFR031C-A	RPL2A	S000004538	YML073C	RPL6A
S000000201	YBL105C	PKC1	S000004577	YML109W	ZDS2
S000005553	YOR027W	STI1	S000006161	YPL240C	HSP82
S000002228	YDL070W	BDF2	S000000935	YER133W	GLC7
S000006014	YPL093W	NOG1	S000006306	YPR102C	RPL11A
S000000117	YBL021C	HAP3	S000005885	YOR358W	HAP5
S000002687	YDR279W	RNH202	S000005016	YNL072W	RNH201
S000002459	YDR052C	DBF4	S000004603	YMR001C	CDC5
S000000409	YBR205W	KTR3	S000002577	YDR170C	SEC7
S000000760	YEL034W	HYP2	S000005334	YNR051C	BRE5
S000003310	YGR078C	PAC10	S000004559	YML094W	GIM5
S000003407	YGR175C	ERG1	S000004815	YMR202W	ERG2
S000002306	YDL147W	RPN5	S000006307	YPR103W	PRE2
S000002802	YDR394W	RPT3	S000001337	YIL075C	RPN2
S000000763	YEL037C	RAD23	S000001243	YHR200W	RPN10
S000001141	YHR099W	TRA1	S000003617	YJL081C	ARP4
S000000183	YBL087C	RPL23A	S000006129	YPL208W	RKM1
S000001239	YHR196W	UTP9	S000004842	YMR229C	RRP5
S000006439	YCR020W-B	HTL1	S000004313	YLR321C	SFH1
S000002736	YDR328C	SKP1	S000004778	YMR168C	CEP3
S000001011	YHL019C	APM2	S000001618	YKL135C	APL2
S000003266	YGR034W	RPL26B	S000005199	YNL255C	GIS2
S000004181	YLR191W	PEX13	S000004628	YMR026C	PEX12
S000000763	YEL037C	RAD23	S000001069	YHR027C	RPN1
S000000402	YBR198C	TAF5	S000004840	YMR227C	TAF7
S000004949	YNL004W	HRB1	S000005197	YNL253W	TEX1
