S000002362	YDL203C	ACK1	S000002995	YGL027C	CWH41
S000002625	YDR217C	RAD9	S000006339	YPR135W	CTF4
S000003257	YGR025W		S000003634	YJL098W	SAP185
S000000983	YER181C		S000001852	YFL042C	
S000003705	YJL169W		S000004410	YLR418C	CDC73
S000004358	YLR366W		S000004751	YMR143W	RPS16A
S000003202	YGL233W	SEC15	S000005332	YNR049C	MSO1
S000006264	YPR060C	ARO7	S000006278	YPR074C	TKL1
S000004715	YMR109W	MYO5	S000004763	YMR154C	RIM13
S000002469	YDR062W	LCB2	S000002621	YDR213W	UPC2
S000004352	YLR360W	VPS38	S000004606	YMR004W	MVP1
S000000787	YEL061C	CIN8	S000004659	YMR055C	BUB2
S000003194	YGL226C-A	OST5	S000005528	YOR002W	ALG6
S000004428	YLR436C	ECM30	S000004465	YML006C	GIS4
S000000876	YER074W	RPS24A	S000001802	YKR094C	RPL40B
S000003981	YLL058W		S000006217	YPR013C	
S000001357	YIL095W	PRK1	S000004678	YMR074C	
S000005197	YNL253W	TEX1	S000006098	YPL177C	CUP9
S000000818	YER016W	BIM1	S000006190	YPL269W	KAR9
S000004362	YLR370C	ARC18	S000005215	YNL271C	BNI1
S000003052	YGL084C	GUP1	S000003398	YGR166W	TRS65
S000000430	YBR226C		S000000934	YER132C	PMD1
S000003698	YJL162C	JJJ2	S000003831	YJR070C	LIA1
S000000656	YCR060W	TAH1	S000002518	YDR111C	ALT2
S000003777	YJR016C	ILV3	S000001686	YKL203C	TOR2
S000000412	YBR208C	"DUR1,2"	S000000461	YBR257W	POP4
S000004798	YMR186W	HSC82	S000005008	YNL064C	YDJ1
S000000888	YER086W	ILV1	S000006264	YPR060C	ARO7
S000003401	YGR169C	PUS6	S000003768	YJR008W	
S000002662	YDR254W	CHL4	S000005721	YOR195W	SLK19
S000003476	YGR244C	LSC2	S000001279	YIL017C	VID28
S000003926	YLL003W	SFI1	S000004636	YMR033W	ARP9
S000002726	YDR318W	MCM21	S000005876	YOR349W	CIN1
S000000534	YCL029C	BIK1	S000004914	YMR299C	DYN3
S000001153	YHR111W	UBA4	S000004929	YMR312W	ELP6
S000002810	YDR402C	DIT2	S000003699	YJL163C	
S000002288	YDL130W	RPP1B	S000005693	YOR167C	RPS28A
S000000157	YBL061C	SKT5	S000003449	YGR217W	CCH1
S000003054	YGL086W	MAD1	S000003185	YGL217C	
S000003446	YGR214W	RPS0A	S000004751	YMR143W	RPS16A
S000002618	YDR210W		S000003486	YGR254W	ENO1
S000002997	YGL029W	CGR1	S000004349	YLR357W	RSC2
S000001701	YKL218C	SRY1	S000001720	YKR012C	
S000001891	YFL003C	MSH4	S000003287	YGR055W	MUP1
S000002177	YDL019C	OSH2	S000004132	YLR142W	PUT1
S000000077	YAR029W		S000004977	YNL032W	SIW14
S000002359	YDL200C	MGT1	S000001118	YHR076W	PTC7
S000004135	YLR145W	RMP1	S000004143	YLR153C	ACS2
S000000750	YEL024W	RIP1	S000003415	YGR183C	QCR9
S000003136	YGL168W	HUR1	S000003373	YGR141W	VPS62
S000002913	YDR505C	PSP1	S000001544	YKL061W	BLI1
S000003080	YGL112C	TAF6	S000004849	YMR236W	TAF9
S000005957	YPL036W	PMA2	S000006171	YPL250C	ICY2
S000001449	YIR010W	DSN1	S000006154	YPL233W	NSL1
S000001072	YHR030C	SLT2	S000001562	YKL079W	SMY1
S000000311	YBR107C	IML3	S000001234	YHR191C	CTF8
S000000487	YBR283C	SSH1	S000005838	YOR311C	DGK1
S000002777	YDR369C	XRS2	S000003925	YLL002W	RTT109
S000000490	YBR286W	APE3	S000000646	YCR050C	
S000001763	YKR055W	RHO4	S000004148	YLR158C	ASP3-3
S000002742	YDR334W	SWR1	S000003413	YGR181W	TIM13
S000000298	YBR094W	PBY1	S000000302	YBR098W	MMS4
S000003961	YLL038C	ENT4	S000004536	YML071C	COG8
S000003197	YGL228W	SHE10	S000001120	YHR078W	
S000002531	YDR124W		S000002799	YDR391C	
S000001738	YKR030W	GMH1	S000004606	YMR004W	MVP1
S000001750	YKR042W	UTH1	S000004100	YLR110C	CCW12
S000005451	YOL091W	SPO21	S000005464	YOL104C	NDJ1
S000000055	YAL059W	ECM1	S000004406	YLR414C	PUN1
S000003567	YJL030W	MAD2	S000004190	YLR200W	YKE2
S000003337	YGR105W	VMA21	S000006240	YPR036W	VMA13
S000002618	YDR210W		S000003691	YJL155C	FBP26
S000003814	YJR053W	BFA1	S000001508	YKL025C	PAN3
S000003855	YJR094W-A	RPL43B	S000004359	YLR367W	RPS22B
S000005593	YOR067C	ALG8	S000006148	YPL227C	ALG5
S000000610	YCR017C	CWH43	S000004924	YMR307W	GAS1
S000003304	YGR072W	UPF3	S000004685	YMR080C	NAM7
S000001158	YHR116W	COX23	S000005591	YOR065W	CYT1
S000001489	YKL006W	RPL14A	S000004399	YLR407W	
S000003428	YGR196C	FYV8	S000001072	YHR030C	SLT2
S000001686	YKL203C	TOR2	S000005762	YOR236W	DFR1
S000000084	YAR050W	FLO1	S000004498	YML035C	AMD1
S000003092	YGL124C	MON1	S000003805	YJR044C	VPS55
S000002399	YDL240W	LRG1	S000003197	YGL228W	SHE10
S000000368	YBR164C	ARL1	S000004906	YMR292W	GOT1
S000000482	YBR278W	DPB3	S000000641	YCR045C	RRT12
S000000219	YBR015C	MNN2	S000002718	YDR310C	SUM1
S000003606	YJL070C		S000004498	YML035C	AMD1
S000000781	YEL055C	POL5	S000003046	YGL078C	DBP3
S000002362	YDL203C	ACK1	S000003449	YGR217W	CCH1
S000001667	YKL184W	SPE1	S000001770	YKR062W	TFA2
S000000201	YBL105C	PKC1	S000003631	YJL095W	BCK1
S000002597	YDR189W	SLY1	S000005596	YOR070C	GYP1
S000001756	YKR048C	NAP1	S000004311	YLR319C	BUD6
S000006041	YPL120W	VPS30	S000006070	YPL149W	ATG5
S000003598	YJL062W	LAS21	S000005780	YOR254C	SEC63
S000000915	YER113C	TMN3	S000000978	YER176W	ECM32
S000003344	YGR112W	SHY1	S000001232	YHR189W	PTH1
S000000119	YBL023C	MCM2	S000003927	YLL004W	ORC3
S000004914	YMR299C	DYN3	S000005721	YOR195W	SLK19
S000000641	YCR045C	RRT12	S000007223	YCR087C-A	
S000003786	YJR025C	BNA1	S000001796	YKR088C	TVP38
S000002633	YDR225W	HTA1	S000005235	YNL291C	MID1
S000004791	YMR179W	SPT21	S000006222	YPR018W	RLF2
S000002164	YDL006W	PTC1	S000001728	YKR020W	VPS51
S000002314	YDL155W	CLB3	S000000951	YER149C	PEA2
S000003541	YJL004C	SYS1	S000004251	YLR261C	VPS63
S000004451	YLR459W	GAB1	S000004827	YMR214W	SCJ1
S000002289	YDL131W	LYS21	S000004655	YMR052C-A	
S000003317	YGR085C	RPL11B	S000006001	YPL080C	
S000000291	YBR087W	RFC5	S000002260	YDL102W	POL3
S000004555	YML090W		S000004563	YML097C	VPS9
S000003768	YJR008W		S000006354	YPR150W	
S000003806	YJR045C	SSC1	S000005758	YOR232W	MGE1
S000002254	YDL096C	OPI6	S000002375	YDL216C	RRI1
S000000502	YBR298C	MAL31	S000001117	YHR075C	PPE1
S000001370	YIL108W		S000003634	YJL098W	SAP185
S000004254	YLR264W	RPS28B	S000004433	YLR441C	RPS1A
S000002990	YGL022W	STT3	S000004757	YMR149W	SWP1
S000002235	YDL077C	VAM6	S000005594	YOR068C	VAM10
S000000103	YBL007C	SLA1	S000004362	YLR370C	ARC18
S000004702	YMR096W	SNZ1	S000006221	YPR017C	DSS4
S000000397	YBR193C	MED8	S000004571	YML103C	NUP188
S000003475	YGR243W	FMP43	S000004398	YLR406C	RPL31B
S000001796	YKR088C	TVP38	S000004345	YLR353W	BUD8
S000004827	YMR214W	SCJ1	S000005528	YOR002W	ALG6
S000002651	YDR243C	PRP28	S000003323	YGR091W	PRP31
S000003972	YLL049W	LDB18	S000006429	YLR390W-A	CCW14
S000005632	YOR106W	VAM3	S000005966	YPL045W	VPS16
S000005892	YOR365C		S000006230	YPR026W	ATH1
S000002291	YDL133W	SRF1	S000004360	YLR368W	MDM30
S000004101	YLR111W		S000005742	YOR216C	RUD3
S000002530	YDR123C	INO2	S000003834	YJR073C	OPI3
S000003475	YGR243W	FMP43	S000001576	YKL093W	MBR1
S000000261	YBR057C	MUM2	S000002524	YDR117C	TMA64
S000004259	YLR269C		S000004906	YMR292W	GOT1
S000000011	YAL013W	DEP1	S000004876	YMR263W	SAP30
S000001904	YFR008W	FAR7	S000004656	YMR052W	FAR3
S000002767	YDR359C	EAF1	S000003815	YJR054W	
S000002256	YDL098C	SNU23	S000001206	YHR163W	SOL3
S000003351	YGR119C	NUP57	S000004444	YLR452C	SST2
S000002467	YDR060W	MAK21	S000001108	YHR066W	SSF1
S000003248	YGR016W		S000001739	YKR031C	SPO14
S000000538	YCL033C	MXR2	S000002492	YDR085C	AFR1
S000002894	YDR486C	VPS60	S000003689	YJL153C	INO1
S000002483	YDR076W	RAD55	S000005895	YOR368W	RAD17
S000000459	YBR255W	MTC4	S000004733	YMR126C	DLT1
S000006022	YPL101W	ELP4	S000006023	YPL102C	
S000000488	YBR284W		S000000499	YBR295W	PCA1
S000000502	YBR298C	MAL31	S000003655	YJL119C	
S000003475	YGR243W	FMP43	S000003797	YJR036C	HUL4
S000005371	YOL011W	PLB3	S000005384	YOL024W	
S000004036	YLR046C		S000004321	YLR329W	REC102
S000000942	YER140W		S000004077	YLR087C	CSF1
S000000143	YBL047C	EDE1	S000002399	YDL240W	LRG1
S000002722	YDR314C	RAD34	S000003049	YGL081W	
S000004100	YLR110C	CCW12	S000004101	YLR111W	
S000001313	YIL051C	MMF1	S000005762	YOR236W	DFR1
S000001326	YIL064W	SEE1	S000004408	YLR416C	
S000000425	YBR221C	PDB1	S000001109	YHR067W	HTD2
S000005074	YNL130C	CPT1	S000005515	YOL155C	HPF1
S000003925	YLL002W	RTT109	S000006368	YPR164W	MMS1
S000001490	YKL007W	CAP1	S000001610	YKL127W	PGM1
S000002618	YDR210W		S000004498	YML035C	AMD1
S000002894	YDR486C	VPS60	S000004171	YLR181C	VTA1
S000000538	YCL033C	MXR2	S000001913	YFR017C	IGD1
S000003631	YJL095W	BCK1	S000003635	YJL099W	CHS6
S000005309	YNR026C	SEC12	S000005642	YOR116C	RPO31
S000004373	YLR381W	CTF3	S000005721	YOR195W	SLK19
S000002652	YDR244W	PEX5	S000004387	YLR395C	COX8
S000000459	YBR255W	MTC4	S000001194	YHR151C	MTC6
S000002444	YDR037W	KRS1	S000001895	YFL001W	DEG1
S000000366	YBR162C	TOS1	S000003197	YGL228W	SHE10
S000002846	YDR438W	THI74	S000005197	YNL253W	TEX1
S000003995	YLR005W	SSL1	S000004582	YML114C	TAF8
S000000311	YBR107C	IML3	S000002421	YDR014W	RAD61
S000000521	YCL016C	DCC1	S000001209	YHR166C	CDC23
S000002484	YDR077W	SED1	S000005363	YOL003C	PFA4
S000003582	YJL046W	AIM22	S000004229	YLR239C	LIP2
S000002382	YDL223C	HBT1	S000006182	YPL261C	
S000000313	YBR109C	CMD1	S000005584	YOR058C	ASE1
S000000425	YBR221C	PDB1	S000004229	YLR239C	LIP2
S000004882	YMR269W	TMA23	S000006132	YPL211W	NIP7
S000002940	YDR532C	KRE28	S000003054	YGL086W	MAD1
S000003337	YGR105W	VMA21	S000004730	YMR123W	PKR1
S000002988	YGL020C	GET1	S000005863	YOR336W	KRE5
S000000916	YER114C	BOI2	S000003184	YGL216W	KIP3
S000004986	YNL041C	COG6	S000006254	YPR050C	
S000001863	YFL031W	HAC1	S000004481	YML019W	OST6
S000001417	YIL155C	GUT2	S000005086	YNL142W	MEP2
S000000605	YCR012W	PGK1	S000003602	YJL066C	MPM1
S000003573	YJL036W	SNX4	S000005972	YPL051W	ARL3
S000002890	YDR482C	CWC21	S000001444	YIR005W	IST3
S000002847	YDR439W	LRS4	S000003420	YGR188C	BUB1
S000005049	YNL105W	RRT16	S000005288	YNR005C	
S000000781	YEL055C	POL5	S000005062	YNL118C	DCP2
S000004361	YLR369W	SSQ1	S000004675	YMR071C	TVP18
S000004592	YML123C	PHO84	S000005467	YOL107W	
S000002946	YDR538W	PAD1	S000004884	YMR271C	URA10
S000001370	YIL108W		S000003619	YJL083W	TAX4
S000000070	YAR015W	ADE1	S000004048	YLR058C	SHM2
S000001275	YIL013C	PDR11	S000005350	YNR067C	DSE4
S000000335	YBR131W	CCZ1	S000002235	YDL077C	VAM6
S000004628	YMR026C	PEX12	S000004638	YMR035W	IMP2
S000002997	YGL029W	CGR1	S000001697	YKL214C	YRA2
S000002305	YDL146W	LDB17	S000002326	YDL167C	NRP1
S000005364	YOL004W	SIN3	S000006103	YPL182C	
S000001417	YIL155C	GUT2	S000004255	YLR265C	NEJ1
S000002665	YDR257C	RKM4	S000001309	YIL047C	SYG1
S000000856	YER054C	GIP2	S000003055	YGL087C	MMS2
S000003885	YJR124C		S000004490	YML028W	TSA1
S000000312	YBR108W	AIM3	S000005363	YOL003C	PFA4
S000001673	YKL190W	CNB1	S000004481	YML019W	OST6
S000003428	YGR196C	FYV8	S000006010	YPL089C	RLM1
S000002187	YDL029W	ARP2	S000001855	YFL039C	ACT1
S000004562	YML096W		S000004814	YMR201C	RAD14
S000003565	YJL028W		S000004587	YML118W	NGL3
S000002807	YDR399W	HPT1	S000000783	YEL057C	
S000002618	YDR210W		S000005956	YPL035C	
S000000467	YBR263W	SHM1	S000028437	YER180C-A	SLO1
S000000064	YAR003W	SWD1	S000005976	YPL055C	LGE1
S000003351	YGR119C	NUP57	S000004811	YMR198W	CIK1
S000000163	YBL067C	UBP13	S000005446	YOL086C	ADH1
S000002534	YDR127W	ARO1	S000002691	YDR283C	GCN2
S000001264	YIL002C	INP51	S000001277	YIL015W	BAR1
S000000151	YBL055C		S000005069	YNL125C	ESBP6
S000001863	YFL031W	HAC1	S000001072	YHR030C	SLT2
S000006035	YPL114W		S000006157	YPL236C	
S000000117	YBL021C	HAP3	S000006093	YPL172C	COX10
S000003749	YJL213W		S000003781	YJR020W	
S000000283	YBR079C	RPG1	S000005776	YOR250C	CLP1
S000000368	YBR164C	ARL1	S000001012	YHL020C	OPI1
S000000622	YCR027C	RHB1	S000000646	YCR050C	
S000003641	YJL105W	SET4	S000003678	YJL142C	IRC9
S000000368	YBR164C	ARL1	S000004986	YNL041C	COG6
S000002739	YDR331W	GPI8	S000000728	YEL002C	WBP1
S000000397	YBR193C	MED8	S000002495	YDR088C	SLU7
S000000356	YBR152W	SPP381	S000002976	YGL008C	PMA1
S000001596	YKL113C	RAD27	S000004651	YMR048W	CSM3
S000000084	YAR050W	FLO1	S000001763	YKR055W	RHO4
