8535 (pp) S000003597,gene_association
6805 (pp) 6201,parent_of
6227 (pp) 6226,parent_of
9204 (pp) S000003459,gene_association
5244 (pp) S000004799,gene_association
9795 (pp) 9527,parent_of
9682 (pp) 9232,parent_of
5089 (pp) S000003319,gene_association
7325 (pp) S000002549,gene_association
8135 (pp) S000003700,gene_association
6985 (pp) S000007268,gene_association
9042 (pp) 8316,parent_of
8205 (pp) S000000994,gene_association
8400 (pp) 7503,parent_of
5289 (pp) S000000463,gene_association
9870 (pp) 9374,parent_of
7340 (pp) S000004959,gene_association
5779 (pp) S000003891,gene_association
7251 (pp) 6689,parent_of
5326 (pp) S000003289,gene_association
9651 (pp) S000002258,gene_association
9590 (pp) 8884,parent_of
6732 (pp) 5485,parent_of
6774 (pp) S000003932,gene_association
9263 (pp) 8730,parent_of
5662 (pp) S000005852,gene_association
5087 (pp) 5086,parent_of
8433 (pp) 7216,parent_of
9560 (pp) 9255,parent_of
9533 (pp) S000006052,gene_association
5596 (pp) S000000453,gene_association
8698 (pp) S000002950,gene_association
6458 (pp) 5943,parent_of
9559 (pp) S000000824,gene_association
8354 (pp) 7313,parent_of
7802 (pp) S000003413,gene_association
9027 (pp) 8335,parent_of
5565 (pp) S000000277,gene_association
6200 (pp) S000001416,gene_association
8148 (pp) S000004912,gene_association
7028 (pp) S000005384,gene_association
9763 (pp) 8807,parent_of
7741 (pp) S000002640,gene_association
8192 (pp) 7254,parent_of
7305 (pp) S000000071,gene_association
8813 (pp) S000006072,gene_association
6537 (pp) 6536,parent_of
9329 (pp) 9257,parent_of
7695 (pp) 6879,parent_of
5885 (pp) S000004189,gene_association
9741 (pp) 9550,parent_of
8947 (pp) S000004652,gene_association
7060 (pp) 6686,parent_of
6480 (pp) S000005463,gene_association
6583 (pp) S000005369,gene_association
5403 (pp) S000004095,gene_association
5190 (pp) S000003005,gene_association
8848 (pp) 7893,parent_of
8048 (pp) S000001334,gene_association
7585 (pp) S000003782,gene_association
7590 (pp) S000005705,gene_association
9212 (pp) S000003367,gene_association
8582 (pp) S000003029,gene_association
5697 (pp) S000000857,gene_association
9325 (pp) 8986,parent_of
7803 (pp) 6993,parent_of
9701 (pp) 9129,parent_of
7773 (pp) S000002375,gene_association
6372 (pp) 6035,parent_of
8677 (pp) 7919,parent_of
6608 (pp) 5992,parent_of
5595 (pp) S000001378,gene_association
6191 (pp) S000005661,gene_association
9269 (pp) 8735,parent_of
7160 (pp) 6548,parent_of
5084 (pp) S000001194,gene_association
9052 (pp) 8803,parent_of
7965 (pp) 7691,parent_of
9467 (pp) 8732,parent_of
9720 (pp) 9334,parent_of
8349 (pp) 7868,parent_of
9988 (pp) 9825,parent_of
5511 (pp) S000003948,gene_association
7373 (pp) 6754,parent_of
7233 (pp) 6582,parent_of
7569 (pp) S000006249,gene_association
5922 (pp) 5921,parent_of
5398 (pp) S000004043,gene_association
6746 (pp) S000000167,gene_association
9133 (pp) S000002306,gene_association
7925 (pp) 7486,parent_of
8261 (pp) S000006341,gene_association
9887 (pp) 9259,parent_of
9843 (pp) 9742,parent_of
8780 (pp) S000002973,gene_association
7712 (pp) 6783,parent_of
7212 (pp) 6940,parent_of
7513 (pp) 7037,parent_of
8234 (pp) S000003424,gene_association
6476 (pp) 6475,parent_of
8571 (pp) S000003794,gene_association
5057 (pp) S000004781,gene_association
8789 (pp) 8496,parent_of
8020 (pp) 6757,parent_of
8437 (pp) S000007247,gene_association
8573 (pp) S000004193,gene_association
9493 (pp) 9086,parent_of
9193 (pp) S000000763,gene_association
6929 (pp) S000001638,gene_association
7824 (pp) S000004431,gene_association
5359 (pp) S000005328,gene_association
9133 (pp) S000003016,gene_association
6400 (pp) 6077,parent_of
5071 (pp) 5063,parent_of
9695 (pp) 9651,parent_of
8570 (pp) S000000492,gene_association
8709 (pp) S000003131,gene_association
9523 (pp) S000001756,gene_association
8419 (pp) 7280,parent_of
6235 (pp) S000000076,gene_association
6729 (pp) 5337,parent_of
6722 (pp) S000002428,gene_association
9573 (pp) 8163,parent_of
7113 (pp) S000002289,gene_association
6005 (pp) 5679,parent_of
5205 (pp) S000001067,gene_association
7087 (pp) 6381,parent_of
6615 (pp) S000002656,gene_association
9292 (pp) S000000912,gene_association
9340 (pp) 8521,parent_of
6679 (pp) 6393,parent_of
6957 (pp) S000005923,gene_association
8068 (pp) 7371,parent_of
9067 (pp) 8172,parent_of
7388 (pp) S000004710,gene_association
5139 (pp) S000001577,gene_association
6180 (pp) 5933,parent_of
6034 (pp) S000001914,gene_association
6847 (pp) S000002591,gene_association
7154 (pp) S000003683,gene_association
9432 (pp) 8791,parent_of
5455 (pp) S000001858,gene_association
8621 (pp) S000003049,gene_association
7056 (pp) S000004123,gene_association
7118 (pp) S000001176,gene_association
8557 (pp) S000006391,gene_association
7000 (pp) 6351,parent_of
8442 (pp) S000004533,gene_association
7540 (pp) 6679,parent_of
7025 (pp) 7024,parent_of
6977 (pp) S000000772,gene_association
5946 (pp) S000000574,gene_association
8527 (pp) 8062,parent_of
5297 (pp) S000003094,gene_association
8628 (pp) S000002331,gene_association
7221 (pp) S000000179,gene_association
6082 (pp) 6081,parent_of
6492 (pp) S000005307,gene_association
8303 (pp) S000000276,gene_association
6238 (pp) S000000806,gene_association
8992 (pp) S000001126,gene_association
6705 (pp) 6704,parent_of
6804 (pp) S000001561,gene_association
7356 (pp) S000004699,gene_association
10032 (pp) 9962,parent_of
9432 (pp) 9121,parent_of
6938 (pp) S000004185,gene_association
5299 (pp) S000005880,gene_association
6036 (pp) S000000265,gene_association
6404 (pp) S000006330,gene_association
8048 (pp) S000005878,gene_association
9235 (pp) S000005708,gene_association
7876 (pp) S000005569,gene_association
5902 (pp) 5900,parent_of
5535 (pp) S000002427,gene_association
6853 (pp) 6219,parent_of
8087 (pp) S000006015,gene_association
5408 (pp) S000003218,gene_association
5175 (pp) S000002834,gene_association
8184 (pp) 8183,parent_of
9385 (pp) S000006382,gene_association
5722 (pp) S000003680,gene_association
9916 (pp) S000005199,gene_association
9302 (pp) S000005564,gene_association
8133 (pp) S000003332,gene_association
9144 (pp) S000001209,gene_association
6992 (pp) S000001456,gene_association
8714 (pp) 8144,parent_of
6632 (pp) S000005190,gene_association
9189 (pp) 8321,parent_of
7832 (pp) S000005316,gene_association
5647 (pp) S000004142,gene_association
9816 (pp) S000004855,gene_association
5891 (pp) S000005185,gene_association
6945 (pp) 6545,parent_of
9450 (pp) S000005509,gene_association
6462 (pp) S000002906,gene_association
6844 (pp) 6421,parent_of
