"SUID","canonicalName","Edge_conflicts","interaction","name","NeXO relation type","selected","shared interaction","shared name"
"34414","6694 (2) S000004345","","2","6694 (2) S000004345","additional_gene_association","false","2","6694 (2) S000004345"
"33689","8037 (2) S000002237","","2","8037 (2) S000002237","additional_gene_association","false","2","8037 (2) S000002237"
"34734","5477 (3) 9073","","3","5477 (3) 9073","additional_parent_of","false","3","5477 (3) 9073"
"29624","9428 (4) S000003626","","4","9428 (4) S000003626","additional_gene_association","false","4","9428 (4) S000003626"
"30317","7287 (2) S000003939","","2","7287 (2) S000003939","additional_gene_association","false","2","7287 (2) S000003939"
"25823","9041 (2) S000002469","","2","9041 (2) S000002469","additional_gene_association","false","2","9041 (2) S000002469"
"38242","9292 (2) S000002388","","2","9292 (2) S000002388","additional_gene_association","false","2","9292 (2) S000002388"
"34449","7059 (2) S000004444","","2","7059 (2) S000004444","additional_gene_association","false","2","7059 (2) S000004444"
"31510","8032 (2) S000002515","","2","8032 (2) S000002515","additional_gene_association","false","2","8032 (2) S000002515"
"39866","7247 (2) S000002284","","2","7247 (2) S000002284","additional_gene_association","false","2","7247 (2) S000002284"
"9875","8034 (pp) 7601","","pp","8034 (pp) 7601","parent_of","false","pp","8034 (pp) 7601"
"17475","5501 (pp) S000001155","","pp","5501 (pp) S000001155","gene_association","false","pp","5501 (pp) S000001155"
"17314","8979 (pp) 8337","","pp","8979 (pp) 8337","parent_of","false","pp","8979 (pp) 8337"
"14519","6884 (pp) S000005348","","pp","6884 (pp) S000005348","gene_association","false","pp","6884 (pp) S000005348"
"10667","7815 (pp) 7320","","pp","7815 (pp) 7320","parent_of","false","pp","7815 (pp) 7320"
"29606","9428 (4) S000006223","","4","9428 (4) S000006223","additional_gene_association","false","4","9428 (4) S000006223"
"34832","8442 (2) S000000822","","2","8442 (2) S000000822","additional_gene_association","false","2","8442 (2) S000000822"
"38606","9249 (2) S000001900","","2","9249 (2) S000001900","additional_gene_association","false","2","9249 (2) S000001900"
"9602","7669 (pp) S000003318","","pp","7669 (pp) S000003318","gene_association","false","pp","7669 (pp) S000003318"
"42900","7598 (2) S000000213","","2","7598 (2) S000000213","additional_gene_association","false","2","7598 (2) S000000213"
"35032","8226 (4) S000005632","","4","8226 (4) S000005632","additional_gene_association","false","4","8226 (4) S000005632"
"16277","5272 (pp) S000004074","","pp","5272 (pp) S000004074","gene_association","false","pp","5272 (pp) S000004074"
"36200","9295 (4) S000001130","","4","9295 (4) S000001130","additional_gene_association","false","4","9295 (4) S000001130"
"42745","5132 (2) S000006144","","2","5132 (2) S000006144","additional_gene_association","false","2","5132 (2) S000006144"
"22226","8261 (2) S000001600","","2","8261 (2) S000001600","additional_gene_association","false","2","8261 (2) S000001600"
"23789","8398 (4) S000005791","","4","8398 (4) S000005791","additional_gene_association","false","4","8398 (4) S000005791"
"36395","9071 (2) S000005863","","2","9071 (2) S000005863","additional_gene_association","false","2","9071 (2) S000005863"
"24786","8587 (2) S000001130","","2","8587 (2) S000001130","additional_gene_association","false","2","8587 (2) S000001130"
"32008","9776 (2) S000005075","","2","9776 (2) S000005075","additional_gene_association","false","2","9776 (2) S000005075"
"26392","8047 (2) S000004200","","2","8047 (2) S000004200","additional_gene_association","false","2","8047 (2) S000004200"
"24932","7034 (2) S000001807","","2","7034 (2) S000001807","additional_gene_association","false","2","7034 (2) S000001807"
"20958","7487 (4) S000003837","","4","7487 (4) S000003837","additional_gene_association","false","4","7487 (4) S000003837"
"31105","6535 (2) S000000489","","2","6535 (2) S000000489","additional_gene_association","false","2","6535 (2) S000000489"
"43013","6614 (2) S000000405","","2","6614 (2) S000000405","additional_gene_association","false","2","6614 (2) S000000405"
"19438","9538 (1) 9483","","1","9538 (1) 9483","additional_parent_of","false","1","9538 (1) 9483"
"37591","8628 (4) S000000530","","4","8628 (4) S000000530","additional_gene_association","false","4","8628 (4) S000000530"
"39052","9180 (2) S000005457","","2","9180 (2) S000005457","additional_gene_association","false","2","9180 (2) S000005457"
